priority_rank,sku,product_name,category,location,zone,latest_system_qty,latest_physical_qty,quantity_variance,absolute_quantity_variance,unit_cost,inventory_value,location_adjustment_exposure,variance_event_count,recurring_variance,count_records,recount_count,recount_rate,transaction_volume,location_recurrence_flag,control_tier,control_reason,count_action_flag,priority_score,recommended_count_frequency
302,SKU0267,Fasteners 0267,Fasteners,Z3-B03,Z3,780,780,0,0,31.90,24882.00,127.60,4,Y,13,10,83.33,194,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,56.04,Biweekly
303,SKU0082,Electrical Components 0082,Electrical Components,Z3-B03,Z3,296,296,0,0,67.40,19950.40,269.60,4,Y,13,10,83.33,165,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,56.03,Biweekly
304,SKU0004,Packaging 0004,Packaging,Z2-B02,Z2,423,423,0,0,18.80,7952.40,150.40,4,Y,13,10,83.33,189,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,56.02,Biweekly
305,SKU0175,Tools 0175,Tools,Z2-B02,Z2,888,888,0,0,51.50,45732.00,257.50,5,Y,13,10,83.33,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,56.01,Biweekly
306,SKU0072,Electrical Components 0072,Electrical Components,Z2-B02,Z2,656,656,0,0,30.40,19942.40,121.60,4,Y,13,10,83.33,194,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.98,Biweekly
307,SKU0068,Maintenance Parts 0068,Maintenance Parts,Z2-B02,Z2,433,433,0,0,15.60,6754.80,124.80,4,Y,13,10,83.33,193,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.97,Biweekly
308,SKU0047,Fasteners 0047,Fasteners,Z2-B02,Z2,451,451,0,0,57.90,26112.90,231.60,4,Y,13,10,83.33,171,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.94,Biweekly
309,SKU0263,Safety Supplies 0263,Safety Supplies,Z3-B03,Z3,442,442,0,0,17.10,7558.20,136.80,4,Y,13,10,83.33,190,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.94,Biweekly
310,SKU0200,Material Handling 0200,Material Handling,Z3-B03,Z3,511,511,0,0,24.00,12264.00,96.00,4,Y,13,11,91.67,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.92,Biweekly
311,SKU0235,Tools 0235,Tools,Z3-B03,Z3,397,397,0,0,33.50,13299.50,134.00,4,Y,13,10,83.33,190,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.91,Biweekly
312,SKU0200,Material Handling 0200,Material Handling,Z2-B02,Z2,590,590,0,0,24.00,14160.00,120.00,5,Y,13,10,83.33,192,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.87,Biweekly
313,SKU0147,Fasteners 0147,Fasteners,Z2-B02,Z2,935,935,0,0,67.90,63486.50,271.60,4,Y,13,10,83.33,161,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.85,Biweekly
314,SKU0099,Shipping Supplies 0099,Shipping Supplies,Z3-B03,Z3,666,666,0,0,10.30,6859.80,103.00,5,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.84,Biweekly
315,SKU0297,Fasteners 0297,Fasteners,Z2-B02,Z2,55,55,0,0,22.90,1259.50,91.60,4,Y,13,11,84.62,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.83,Biweekly
316,SKU0178,Maintenance Parts 0178,Maintenance Parts,Z2-B02,Z2,686,686,0,0,62.60,42943.60,500.80,4,Y,13,11,84.62,114,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.81,Biweekly
317,SKU0299,Shipping Supplies 0299,Shipping Supplies,Z2-B02,Z2,499,499,0,0,30.30,15119.70,242.40,4,Y,13,10,83.33,166,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.80,Biweekly
318,SKU0265,Tools 0265,Tools,Z2-B02,Z2,355,355,0,0,24.50,8697.50,98.00,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.79,Biweekly
319,SKU0164,Packaging 0164,Packaging,Z3-B03,Z3,630,630,0,0,10.80,6804.00,86.40,4,Y,13,10,83.33,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.78,Biweekly
320,SKU0229,Shipping Supplies 0229,Shipping Supplies,Z2-B02,Z2,535,535,0,0,11.30,6045.50,90.40,4,Y,13,11,84.62,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.77,Biweekly
321,SKU0232,Electrical Components 0232,Electrical Components,Z3-B03,Z3,140,140,0,0,22.40,3136.00,89.60,4,Y,13,10,83.33,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.76,Biweekly
322,SKU0213,Safety Supplies 0213,Safety Supplies,Z3-B03,Z3,508,508,0,0,72.10,36626.80,576.80,4,Y,13,11,84.62,97,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.73,Biweekly
323,SKU0037,Fasteners 0037,Fasteners,Z2-B02,Z2,61,61,0,0,20.90,1274.90,83.60,4,Y,13,11,84.62,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.70,Biweekly
324,SKU0038,Maintenance Parts 0038,Maintenance Parts,Z3-B03,Z3,463,463,0,0,24.60,11389.80,246.00,5,Y,13,11,84.62,163,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.69,Biweekly
325,SKU0049,Shipping Supplies 0049,Shipping Supplies,Z3-B03,Z3,734,734,0,0,65.30,47930.20,522.40,4,Y,13,11,84.62,107,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.68,Biweekly
326,SKU0005,Tools 0005,Tools,Z2-B02,Z2,365,365,0,0,22.50,8212.50,90.00,4,Y,13,10,83.33,194,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.66,Biweekly
327,SKU0228,Maintenance Parts 0228,Maintenance Parts,Z3-B03,Z3,464,464,0,0,7.60,3526.40,76.00,5,Y,13,10,83.33,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.62,Biweekly
328,SKU0010,Material Handling 0010,Material Handling,Z3-B03,Z3,457,457,0,0,41.00,18737.00,164.00,4,Y,13,10,83.33,178,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.61,Biweekly
329,SKU0242,Electrical Components 0242,Electrical Components,Z3-B03,Z3,480,480,0,0,59.40,28512.00,237.60,4,Y,13,11,84.62,163,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.60,Biweekly
330,SKU0003,Safety Supplies 0003,Safety Supplies,Z3-B03,Z3,508,508,0,0,15.10,7670.80,120.80,4,Y,13,11,84.62,186,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.57,Biweekly
331,SKU0293,Safety Supplies 0293,Safety Supplies,Z2-B02,Z2,348,348,0,0,8.10,2818.80,64.80,4,Y,13,10,83.33,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.56,Biweekly
332,SKU0298,Maintenance Parts 0298,Maintenance Parts,Z3-B03,Z3,459,459,0,0,26.60,12209.40,212.80,4,Y,13,11,84.62,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.55,Biweekly
333,SKU0135,Tools 0135,Tools,Z3-B03,Z3,647,647,0,0,23.50,15204.50,94.00,4,Y,13,10,83.33,191,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.55,Biweekly
334,SKU0162,Electrical Components 0162,Electrical Components,Z2-B02,Z2,897,897,0,0,123.40,110689.80,493.60,4,Y,13,10,83.33,110,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.54,Biweekly
335,SKU0164,Packaging 0164,Packaging,Z2-B02,Z2,620,620,0,0,10.80,6696.00,86.40,4,Y,13,10,83.33,192,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.53,Biweekly
336,SKU0167,Fasteners 0167,Fasteners,Z3-B03,Z3,250,250,0,0,21.90,5475.00,109.50,5,Y,13,10,83.33,187,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.51,Biweekly
337,SKU0165,Tools 0165,Tools,Z2-B02,Z2,586,586,0,0,14.50,8497.00,58.00,4,Y,13,11,91.67,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.49,Biweekly
338,SKU0075,Tools 0075,Tools,Z2-B02,Z2,461,461,0,0,41.50,19131.50,166.00,4,Y,13,10,83.33,175,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.48,Biweekly
339,SKU0097,Fasteners 0097,Fasteners,Z3-B03,Z3,899,899,0,0,122.90,110487.10,491.60,4,Y,13,10,83.33,109,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.47,Biweekly
340,SKU0110,Material Handling 0110,Material Handling,Z3-B03,Z3,311,311,0,0,51.00,15861.00,204.00,4,Y,13,10,83.33,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.46,Biweekly
341,SKU0232,Electrical Components 0232,Electrical Components,Z2-B02,Z2,180,180,0,0,22.40,4032.00,89.60,4,Y,13,10,83.33,190,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.46,Biweekly
342,SKU0039,Shipping Supplies 0039,Shipping Supplies,Z2-B02,Z2,499,499,0,0,28.30,14121.70,226.40,4,Y,13,10,83.33,162,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.44,Biweekly
343,SKU0207,Fasteners 0207,Fasteners,Z2-B02,Z2,584,584,0,0,49.90,29141.60,199.60,4,Y,13,11,84.62,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.42,Biweekly
344,SKU0100,Material Handling 0100,Material Handling,Z3-B03,Z3,530,530,0,0,14.00,7420.00,56.00,4,Y,13,11,84.62,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.42,Biweekly
345,SKU0107,Fasteners 0107,Fasteners,Z2-B02,Z2,672,673,-1,1,39.90,26852.70,199.50,5,Y,13,10,83.33,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.42,Biweekly
346,SKU0003,Safety Supplies 0003,Safety Supplies,Z2-B02,Z2,636,636,0,0,15.10,9603.60,151.00,5,Y,13,11,84.62,176,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.38,Biweekly
347,SKU0197,Fasteners 0197,Fasteners,Z2-B02,Z2,169,169,0,0,12.90,2180.10,51.60,4,Y,13,10,83.33,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.37,Biweekly
348,SKU0113,Safety Supplies 0113,Safety Supplies,Z3-B03,Z3,729,729,0,0,62.10,45270.90,496.80,4,Y,13,10,83.33,106,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.37,Biweekly
349,SKU0100,Material Handling 0100,Material Handling,Z2-B02,Z2,782,782,0,0,14.00,10948.00,56.00,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.37,Biweekly
350,SKU0103,Safety Supplies 0103,Safety Supplies,Z2-B02,Z2,463,463,0,0,25.10,11621.30,200.80,4,Y,13,10,83.33,165,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.33,Biweekly
351,SKU0163,Safety Supplies 0163,Safety Supplies,Z3-B03,Z3,586,586,0,0,7.10,4160.60,56.80,4,Y,13,10,83.33,194,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.33,Biweekly
352,SKU0018,Maintenance Parts 0018,Maintenance Parts,Z2-B02,Z2,548,548,0,0,70.60,38688.80,564.80,4,Y,13,10,83.33,91,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.31,Biweekly
353,SKU0132,Electrical Components 0132,Electrical Components,Z3-B03,Z3,274,274,0,0,12.40,3397.60,49.60,4,Y,13,11,91.67,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.30,Biweekly
354,SKU0033,Safety Supplies 0033,Safety Supplies,Z2-B02,Z2,341,341,0,0,6.10,2080.10,48.80,4,Y,13,11,91.67,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.29,Biweekly
355,SKU0067,Fasteners 0067,Fasteners,Z3-B03,Z3,465,465,0,0,11.90,5533.50,47.60,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.28,Biweekly
356,SKU0267,Fasteners 0267,Fasteners,Z2-B02,Z2,930,930,0,0,31.90,29667.00,159.50,5,Y,13,11,91.67,172,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.26,Biweekly
357,SKU0295,Tools 0295,Tools,Z3-B03,Z3,884,884,0,0,15.50,13702.00,62.00,4,Y,13,10,83.33,191,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.23,Biweekly
358,SKU0228,Maintenance Parts 0228,Maintenance Parts,Z2-B02,Z2,657,657,0,0,7.60,4993.20,60.80,4,Y,13,10,83.33,191,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.22,Biweekly
359,SKU0134,Packaging 0134,Packaging,Z3-B03,Z3,703,703,0,0,19.80,13919.40,158.40,4,Y,13,11,84.62,170,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.15,Biweekly
360,SKU0030,Material Handling 0030,Material Handling,Z2-B02,Z2,755,755,0,0,115.00,86825.00,460.00,4,Y,13,10,83.33,109,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.15,Biweekly
361,SKU0132,Electrical Components 0132,Electrical Components,Z2-B02,Z2,396,396,0,0,12.40,4910.40,62.00,5,Y,13,10,83.33,189,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.13,Biweekly
362,SKU0014,Packaging 0014,Packaging,Z2-B02,Z2,890,890,0,0,55.80,49662.00,446.40,4,Y,13,11,84.62,111,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.11,Biweekly
363,SKU0173,Safety Supplies 0173,Safety Supplies,Z3-B03,Z3,924,924,0,0,44.10,40748.40,441.00,5,Y,13,11,84.62,112,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.11,Biweekly
364,SKU0062,Electrical Components 0062,Electrical Components,Z2-B02,Z2,939,939,0,0,113.40,106482.60,453.60,4,Y,13,10,83.33,109,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.08,Biweekly
365,SKU0065,Tools 0065,Tools,Z2-B02,Z2,30,30,0,0,4.50,135.00,18.00,4,Y,13,11,84.62,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.08,Biweekly
366,SKU0292,Electrical Components 0292,Electrical Components,Z3-B03,Z3,326,326,0,0,4.40,1434.40,17.60,4,Y,13,11,84.62,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.08,Biweekly
367,SKU0198,Maintenance Parts 0198,Maintenance Parts,Z3-B03,Z3,726,726,0,0,16.60,12051.60,166.00,5,Y,13,10,83.33,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.08,Biweekly
368,SKU0274,Packaging 0274,Packaging,Z2-B02,Z2,944,944,0,0,57.80,54563.20,462.40,4,Y,13,11,84.62,107,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.07,Biweekly
369,SKU0125,Tools 0125,Tools,Z3-B03,Z3,896,896,0,0,106.50,95424.00,426.00,4,Y,13,10,83.33,114,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.05,Biweekly
370,SKU0035,Tools 0035,Tools,Z3-B03,Z3,797,797,0,0,13.50,10759.50,54.00,4,Y,13,10,83.33,189,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.05,Biweekly
371,SKU0260,Material Handling 0260,Material Handling,Z3-B03,Z3,113,113,0,0,6.00,678.00,24.00,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.04,Biweekly
372,SKU0199,Shipping Supplies 0199,Shipping Supplies,Z2-B02,Z2,719,719,0,0,20.30,14595.70,162.40,4,Y,13,11,91.67,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.04,Biweekly
373,SKU0195,Tools 0195,Tools,Z3-B03,Z3,251,251,0,0,5.50,1380.50,22.00,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,55.02,Biweekly
374,SKU0042,Electrical Components 0042,Electrical Components,Z3-B03,Z3,725,725,0,0,39.40,28565.00,157.60,4,Y,13,10,83.33,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.99,Biweekly
375,SKU0273,Safety Supplies 0273,Safety Supplies,Z3-B03,Z3,859,859,0,0,54.10,46471.90,432.80,4,Y,13,10,83.33,111,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.97,Biweekly
376,SKU0292,Electrical Components 0292,Electrical Components,Z2-B02,Z2,475,475,0,0,4.40,2090.00,22.00,5,Y,13,11,84.62,194,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.97,Biweekly
377,SKU0235,Tools 0235,Tools,Z2-B02,Z2,606,606,0,0,33.50,20301.00,134.00,4,Y,13,11,84.62,170,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.90,Biweekly
378,SKU0022,Electrical Components 0022,Electrical Components,Z2-B02,Z2,729,729,0,0,85.40,62256.60,427.00,5,Y,13,10,83.33,110,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.86,Biweekly
379,SKU0025,Tools 0025,Tools,Z3-B03,Z3,1017,1016,1,1,96.50,98044.00,482.50,5,Y,13,10,83.33,98,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.82,Biweekly
380,SKU0225,Tools 0225,Tools,Z3-B03,Z3,693,693,0,0,116.50,80734.50,466.00,4,Y,13,11,84.62,101,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.81,Biweekly
381,SKU0290,Material Handling 0290,Material Handling,Z2-B02,Z2,716,716,0,0,117.00,83772.00,468.00,4,Y,13,10,83.33,100,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.78,Biweekly
382,SKU0202,Electrical Components 0202,Electrical Components,Z3-B03,Z3,917,917,0,0,31.40,28793.80,125.60,4,Y,13,11,84.62,169,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.77,Biweekly
383,SKU0260,Material Handling 0260,Material Handling,Z2-B02,Z2,174,174,0,0,6.00,1044.00,24.00,4,Y,13,10,83.33,189,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.74,Biweekly
384,SKU0157,Fasteners 0157,Fasteners,Z3-B03,Z3,465,465,0,0,104.90,48778.50,419.60,4,Y,13,11,84.62,109,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.74,Biweekly
385,SKU0270,Material Handling 0270,Material Handling,Z3-B03,Z3,469,469,0,0,43.00,20167.00,172.00,4,Y,13,11,84.62,159,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.74,Biweekly
386,SKU0185,Tools 0185,Tools,Z3-B03,Z3,481,481,0,0,88.50,42568.50,442.50,5,Y,13,11,84.62,104,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.72,Biweekly
387,SKU0257,Fasteners 0257,Fasteners,Z3-B03,Z3,1112,1112,0,0,114.90,127768.80,459.60,4,Y,13,10,83.33,100,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.69,Biweekly
388,SKU0167,Fasteners 0167,Fasteners,Z2-B02,Z2,401,401,0,0,21.90,8781.90,87.60,4,Y,13,11,84.62,175,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.68,Biweekly
389,SKU0170,Material Handling 0170,Material Handling,Z3-B03,Z3,648,648,0,0,33.00,21384.00,132.00,4,Y,13,11,91.67,166,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.68,Biweekly
390,SKU0263,Safety Supplies 0263,Safety Supplies,Z2-B02,Z2,610,610,0,0,17.10,10431.00,136.80,4,Y,13,11,84.62,165,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.68,Biweekly
391,SKU0078,Maintenance Parts 0078,Maintenance Parts,Z2-B02,Z2,743,743,0,0,52.60,39081.80,420.80,4,Y,13,10,83.33,107,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.65,Biweekly
392,SKU0057,Fasteners 0057,Fasteners,Z3-B03,Z3,693,693,0,0,94.90,65765.70,379.60,4,Y,13,10,83.33,115,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.63,Biweekly
393,SKU0209,Shipping Supplies 0209,Shipping Supplies,Z3-B03,Z3,988,988,0,0,57.30,56612.40,458.40,4,Y,13,10,83.33,99,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.63,Biweekly
394,SKU0070,Material Handling 0070,Material Handling,Z3-B03,Z3,811,811,0,0,23.00,18653.00,92.00,4,Y,13,10,83.33,172,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.58,Biweekly
395,SKU0190,Material Handling 0190,Material Handling,Z2-B02,Z2,920,920,0,0,107.00,98440.00,428.00,4,Y,13,11,84.62,104,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.57,Biweekly
396,SKU0090,Material Handling 0090,Material Handling,Z2-B02,Z2,966,966,0,0,97.00,93702.00,388.00,4,Y,13,10,83.33,112,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.57,Biweekly
397,SKU0222,Electrical Components 0222,Electrical Components,Z2-B02,Z2,516,516,0,0,105.40,54386.40,421.60,4,Y,13,10,83.33,105,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.56,Biweekly
398,SKU0034,Packaging 0034,Packaging,Z3-B03,Z3,918,918,0,0,9.80,8996.40,78.40,4,Y,13,11,91.67,174,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.54,Biweekly
399,SKU0163,Safety Supplies 0163,Safety Supplies,Z2-B02,Z2,679,679,0,0,7.10,4820.90,71.00,5,Y,13,10,83.33,175,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.51,Biweekly
400,SKU0174,Packaging 0174,Packaging,Z2-B02,Z2,1000,1000,0,0,47.80,47800.00,382.40,4,Y,13,10,83.33,112,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.51,Biweekly
401,SKU0150,Material Handling 0150,Material Handling,Z2-B02,Z2,620,619,1,1,79.00,48901.00,395.00,5,Y,13,11,84.62,107,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.39,Biweekly
402,SKU0282,Electrical Components 0282,Electrical Components,Z2-B02,Z2,736,736,0,0,87.40,64326.40,349.60,4,Y,13,10,83.33,116,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.38,Biweekly
403,SKU0102,Electrical Components 0102,Electrical Components,Z3-B03,Z3,459,459,0,0,21.40,9822.60,85.60,4,Y,13,11,91.67,168,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.31,Biweekly
404,SKU0135,Tools 0135,Tools,Z2-B02,Z2,685,685,0,0,23.50,16097.50,94.00,4,Y,13,11,91.67,165,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.25,Biweekly
405,SKU0294,Packaging 0294,Packaging,Z3-B03,Z3,980,980,0,0,11.80,11564.00,94.40,4,Y,13,10,83.33,164,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.20,Biweekly
406,SKU0099,Shipping Supplies 0099,Shipping Supplies,Z2-B02,Z2,884,884,0,0,10.30,9105.20,82.40,4,Y,13,11,84.62,166,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.18,Biweekly
407,SKU0098,Maintenance Parts 0098,Maintenance Parts,Z3-B03,Z3,872,872,0,0,6.60,5755.20,52.80,4,Y,13,11,91.67,171,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.13,Biweekly
408,SKU0285,Tools 0285,Tools,Z3-B03,Z3,1112,1112,0,0,98.50,109532.00,394.00,4,Y,13,11,91.67,102,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.13,Biweekly
409,SKU0109,Shipping Supplies 0109,Shipping Supplies,Z3-B03,Z3,1133,1133,0,0,47.30,53590.90,378.40,4,Y,13,10,83.33,105,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.12,Biweekly
410,SKU0250,Material Handling 0250,Material Handling,Z2-B02,Z2,525,525,0,0,89.00,46725.00,356.00,4,Y,13,11,91.67,108,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.04,Biweekly
411,SKU0295,Tools 0295,Tools,Z2-B02,Z2,875,875,0,0,15.50,13562.50,62.00,4,Y,13,10,83.33,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,54.02,Biweekly
412,SKU0035,Tools 0035,Tools,Z2-B02,Z2,935,935,0,0,13.50,12622.50,54.00,4,Y,13,10,83.33,168,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,53.99,Biweekly
413,SKU0262,Electrical Components 0262,Electrical Components,Z3-B03,Z3,635,635,0,0,13.40,8509.00,53.60,4,Y,13,10,83.33,168,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,53.99,Biweekly
414,SKU0238,Maintenance Parts 0238,Maintenance Parts,Z2-B02,Z2,888,888,0,0,44.60,39604.80,356.80,4,Y,13,10,83.33,105,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,53.90,Biweekly
415,SKU0195,Tools 0195,Tools,Z2-B02,Z2,382,382,0,0,5.50,2101.00,22.00,4,Y,13,11,84.62,172,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,53.87,Biweekly
416,SKU0130,Material Handling 0130,Material Handling,Z3-B03,Z3,449,449,0,0,5.00,2245.00,25.00,5,Y,13,10,83.33,171,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,53.85,Biweekly
417,SKU0217,Fasteners 0217,Fasteners,Z3-B03,Z3,903,903,0,0,86.90,78470.70,347.60,4,Y,13,11,91.67,105,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,53.81,Biweekly
418,SKU0230,Material Handling 0230,Material Handling,Z3-B03,Z3,882,882,0,0,15.00,13230.00,60.00,4,Y,13,11,84.62,163,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,53.80,Biweekly
419,SKU0085,Tools 0085,Tools,Z3-B03,Z3,687,687,0,0,78.50,53929.50,314.00,4,Y,13,11,91.67,111,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,53.77,Biweekly
