priority_rank,sku,product_name,category,supplier,location_count,total_system_qty,total_physical_qty,total_quantity_variance,total_absolute_quantity_variance,unit_cost,inventory_value,adjustment_exposure,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,reorder_point_trigger,safety_stock_trigger,lead_time_trigger,materiality_flag,replenishment_tier,replenishment_reason,action_flag,priority_score
114,SKU0213,Safety Supplies 0213,Safety Supplies,Cedar Components,12,5128,5128,0,0,72.10,369728.80,1153.60,5.62,913.00,43,35,19,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,12.02
115,SKU0120,Material Handling 0120,Material Handling,Summit Packaging,12,5445,5445,0,0,88.00,479160.00,792.00,5.07,1074.67,60,10,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.01
116,SKU0278,Maintenance Parts 0278,Maintenance Parts,Cedar Components,12,5033,5033,0,0,72.60,365395.80,1161.60,5.63,893.43,38,40,6,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,11.99
117,SKU0209,Shipping Supplies 0209,Shipping Supplies,Harbor Safety,12,7637,7637,0,0,57.30,437600.10,916.80,5.75,1328.17,79,15,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.95
118,SKU0014,Packaging 0014,Packaging,Harbor Safety,12,7931,7931,0,0,55.80,442549.80,892.80,5.57,1424.73,94,40,12,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.91
119,SKU0019,Shipping Supplies 0019,Shipping Supplies,Harbor Safety,12,4109,4109,0,0,74.30,305298.70,1337.40,5.32,772.85,69,25,11,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,11.88
120,SKU0250,Material Handling 0250,Material Handling,Summit Packaging,12,5569,5569,0,0,89.00,495641.00,712.00,5.63,988.58,50,20,8,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.88
121,SKU0239,Shipping Supplies 0239,Shipping Supplies,Harbor Safety,12,9710,9710,0,0,48.30,468993.00,772.80,5.29,1834.00,89,45,21,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.74
122,SKU0244,Packaging 0244,Packaging,Harbor Safety,12,5659,5659,0,0,66.80,378021.20,1068.80,5.13,1102.40,64,30,20,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,11.73
123,SKU0079,Shipping Supplies 0079,Shipping Supplies,Harbor Safety,12,7612,7612,0,0,56.30,428555.60,900.80,5.18,1468.55,89,45,17,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.72
124,SKU0018,Maintenance Parts 0018,Maintenance Parts,Cedar Components,12,5074,5074,0,0,70.60,358224.40,1129.60,5.43,933.87,58,20,4,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,11.71
125,SKU0109,Shipping Supplies 0109,Shipping Supplies,Harbor Safety,12,9959,9959,0,0,47.30,471060.70,756.80,5.82,1712.15,99,35,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.69
126,SKU0187,Fasteners 0187,Fasteners,Blue Ridge Supply,12,4533,4533,0,0,95.90,434714.70,863.10,5.32,852.60,77,25,17,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.63
127,SKU0252,Electrical Components 0252,Electrical Components,Blue Ridge Supply,12,4796,4796,0,0,96.40,462334.40,771.20,4.87,985.48,72,30,4,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,11.62
128,SKU0055,Tools 0055,Tools,Summit Packaging,12,5496,5496,0,0,87.50,480900.00,700.00,5.21,1055.80,65,45,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.57
129,SKU0049,Shipping Supplies 0049,Shipping Supplies,Harbor Safety,12,5688,5688,0,0,65.30,371426.40,1044.80,5.79,981.63,79,15,5,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,11.50
130,SKU0210,Material Handling 0210,Material Handling,Summit Packaging,12,8502,8502,0,0,61.00,518622.00,549.00,5.57,1527.31,90,20,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.43
131,SKU0275,Tools 0275,Tools,Summit Packaging,12,8707,8707,0,0,61.50,535480.50,492.00,5.18,1679.81,85,25,21,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.42
132,SKU0174,Packaging 0174,Packaging,Harbor Safety,12,9392,9392,0,0,47.80,448937.60,764.80,5.37,1750.06,94,40,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.37
133,SKU0122,Electrical Components 0122,Electrical Components,Blue Ridge Supply,12,4679,4679,0,0,95.40,446376.60,763.20,5.54,843.91,82,20,12,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.32
134,SKU0149,Shipping Supplies 0149,Shipping Supplies,Harbor Safety,12,4002,4002,0,0,75.30,301350.60,1204.80,5.88,680.23,59,35,21,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,11.14
135,SKU0057,Fasteners 0057,Fasteners,Blue Ridge Supply,12,4589,4589,0,0,94.90,435496.10,759.20,5.68,807.45,87,15,7,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.11
136,SKU0273,Safety Supplies 0273,Safety Supplies,Cedar Components,12,6796,6796,0,0,54.10,367663.60,973.80,5.79,1172.85,63,15,7,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,11.07
137,SKU0015,Tools 0015,Tools,Summit Packaging,12,8404,8404,0,0,59.50,500038.00,535.50,5.29,1587.32,25,45,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.05
138,SKU0080,Material Handling 0080,Material Handling,Summit Packaging,12,8575,8575,0,0,60.00,514500.00,480.00,5.00,1715.00,20,10,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.01
139,SKU0145,Tools 0145,Tools,Summit Packaging,12,8472,8472,0,0,60.50,512556.00,484.00,5.71,1484.87,95,15,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,11.00
140,SKU0115,Tools 0115,Tools,Summit Packaging,12,6923,6923,0,0,69.50,481148.50,556.00,5.38,1286.01,85,25,17,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.84
141,SKU0214,Packaging 0214,Packaging,Harbor Safety,12,3686,3686,0,0,75.80,279398.80,1212.80,5.43,678.40,54,40,8,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,10.81
142,SKU0243,Safety Supplies 0243,Safety Supplies,Cedar Components,12,4770,4770,0,0,63.10,300987.00,1135.80,5.32,897.18,53,25,13,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,10.78
143,SKU0245,Tools 0245,Tools,Summit Packaging,12,6728,6728,0,0,70.50,474324.00,564.00,5.79,1161.11,75,35,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.77
144,SKU0050,Material Handling 0050,Material Handling,Summit Packaging,12,6596,6596,0,0,69.00,455124.00,621.00,5.46,1209.04,90,20,12,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.74
145,SKU0084,Packaging 0084,Packaging,Harbor Safety,12,3714,3714,0,0,74.80,277807.20,1196.80,4.87,763.15,64,30,16,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,10.71
146,SKU0143,Safety Supplies 0143,Safety Supplies,Cedar Components,12,7014,7014,0,0,53.10,372443.40,849.60,5.38,1302.91,73,45,15,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.52
147,SKU0173,Safety Supplies 0173,Safety Supplies,Cedar Components,12,8796,8796,0,0,44.10,387903.60,793.80,5.71,1541.66,83,35,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.50
148,SKU0081,Industrial Supplies 0081,Industrial Supplies,Atlas Industrial,12,9789,9789,0,0,63.70,623559.30,0.00,5.82,1682.92,31,15,13,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.39
149,SKU0211,Industrial Supplies 0211,Industrial Supplies,Atlas Industrial,12,9607,9607,0,0,64.70,621572.90,0.00,5.29,1814.54,21,25,5,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.36
150,SKU0108,Maintenance Parts 0108,Maintenance Parts,Cedar Components,12,8741,8741,0,0,43.60,381107.60,784.80,5.00,1748.20,88,30,4,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.34
151,SKU0180,Material Handling 0180,Material Handling,Summit Packaging,12,6420,6420,0,0,70.00,449400.00,560.00,4.93,1301.35,80,30,4,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.33
152,SKU0178,Maintenance Parts 0178,Maintenance Parts,Cedar Components,12,4937,4937,0,0,62.60,309056.20,1001.60,5.54,890.44,58,20,8,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,10.24
153,SKU0280,Material Handling 0280,Material Handling,Summit Packaging,12,4885,4885,0,0,80.00,390800.00,720.00,4.87,1003.77,60,10,20,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.17
154,SKU0078,Maintenance Parts 0078,Maintenance Parts,Cedar Components,12,6624,6624,0,0,52.60,348422.40,841.60,5.46,1214.18,78,40,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.08
155,SKU0113,Safety Supplies 0113,Safety Supplies,Cedar Components,12,4863,4863,0,0,62.10,301992.30,993.60,5.68,855.66,63,15,21,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,10.08
156,SKU0240,Material Handling 0240,Material Handling,Summit Packaging,12,8881,8880,1,1,52.00,461760.00,468.00,4.96,1791.93,20,10,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.07
157,SKU0238,Maintenance Parts 0238,Maintenance Parts,Cedar Components,12,8671,8671,0,0,44.60,386726.60,713.60,5.57,1557.66,78,40,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.07
158,SKU0048,Maintenance Parts 0048,Maintenance Parts,Cedar Components,12,4932,4932,0,0,61.60,303811.20,985.60,5.13,960.78,68,10,16,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,10.07
159,SKU0150,Material Handling 0150,Material Handling,Summit Packaging,12,4871,4870,1,1,79.00,384730.00,711.00,5.54,878.36,70,40,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.02
160,SKU0276,Consumables 0276,Consumables,Atlas Industrial,12,9212,9212,0,0,65.20,600622.40,0.00,5.00,1842.40,96,30,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,10.01
161,SKU0146,Consumables 0146,Consumables,Atlas Industrial,12,9172,9172,0,0,64.20,588842.40,0.00,5.37,1709.07,26,20,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.82
162,SKU0043,Safety Supplies 0043,Safety Supplies,Cedar Components,12,8618,8618,0,0,43.10,371435.80,689.60,5.29,1627.74,93,25,17,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.69
163,SKU0016,Consumables 0016,Consumables,Atlas Industrial,12,9179,9179,0,0,63.20,580112.80,0.00,4.96,1852.26,36,10,8,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.67
164,SKU0246,Consumables 0246,Consumables,Atlas Industrial,12,7783,7783,0,0,74.20,577498.60,0.00,5.46,1426.62,86,40,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.63
165,SKU0110,Material Handling 0110,Material Handling,Summit Packaging,12,8820,8820,0,0,51.00,449820.00,408.00,5.63,1565.68,30,40,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.57
166,SKU0215,Tools 0215,Tools,Summit Packaging,12,4685,4685,0,0,79.50,372457.50,636.00,5.32,881.19,65,45,15,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.44
167,SKU0020,Material Handling 0020,Material Handling,Summit Packaging,12,4820,4820,0,0,78.00,375960.00,624.00,5.13,938.96,80,30,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.44
168,SKU0175,Tools 0175,Tools,Summit Packaging,12,8224,8224,0,0,51.50,423536.00,463.50,5.25,1566.48,25,45,5,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.41
169,SKU0116,Consumables 0116,Consumables,Atlas Industrial,12,7673,7673,0,0,73.20,561663.60,0.00,5.04,1521.08,96,30,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.36
170,SKU0085,Tools 0085,Tools,Summit Packaging,12,4626,4626,0,0,78.50,363141.00,628.00,5.68,813.96,75,35,5,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.24
171,SKU0181,Industrial Supplies 0181,Industrial Supplies,Atlas Industrial,12,7458,7458,0,0,73.70,549654.60,0.00,5.75,1297.04,91,35,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.16
172,SKU0045,Tools 0045,Tools,Summit Packaging,12,8262,8262,0,0,50.50,417231.00,404.00,5.62,1470.98,35,35,13,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,9.01
173,SKU0051,Industrial Supplies 0051,Industrial Supplies,Atlas Industrial,12,7360,7360,0,0,72.70,535072.00,0.00,5.18,1419.94,21,25,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,8.92
174,SKU0216,Consumables 0216,Consumables,Atlas Industrial,12,5692,5692,0,0,83.20,473574.40,0.00,5.13,1108.83,76,10,4,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.89
175,SKU0281,Industrial Supplies 0281,Industrial Supplies,Atlas Industrial,12,5657,5657,0,0,83.70,473490.90,0.00,5.68,995.37,71,15,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.89
176,SKU0138,Maintenance Parts 0138,Maintenance Parts,Cedar Components,12,8066,8066,0,0,34.60,279083.60,622.80,5.63,1431.83,98,20,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.81
177,SKU0086,Consumables 0086,Consumables,Atlas Industrial,12,5674,5674,0,0,82.20,466402.80,0.00,5.50,1031.64,86,40,12,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.77
178,SKU0268,Maintenance Parts 0268,Maintenance Parts,Cedar Components,12,8040,8040,0,0,35.60,286224.00,569.60,4.96,1622.42,88,30,8,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.66
179,SKU0151,Industrial Supplies 0151,Industrial Supplies,Atlas Industrial,12,5551,5551,0,0,82.70,459067.70,0.00,5.12,1084.89,81,45,17,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.65
180,SKU0203,Safety Supplies 0203,Safety Supplies,Cedar Components,12,7642,7642,0,0,35.10,268234.20,561.60,5.25,1455.62,93,25,21,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.32
181,SKU0008,Maintenance Parts 0008,Maintenance Parts,Cedar Components,12,8104,8104,0,0,33.60,272294.40,537.60,5.07,1599.47,28,10,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.27
182,SKU0021,Industrial Supplies 0021,Industrial Supplies,Atlas Industrial,12,5332,5332,0,0,81.70,435624.40,0.00,5.79,920.19,91,35,7,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.26
183,SKU0073,Safety Supplies 0073,Safety Supplies,Cedar Components,12,7737,7737,0,0,34.10,263831.70,545.60,5.62,1377.51,23,15,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.17
184,SKU0172,Electrical Components 0172,Electrical Components,Blue Ridge Supply,12,8105,8105,0,0,40.40,327442.00,323.20,5.04,1606.72,72,30,20,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.10
185,SKU0237,Fasteners 0237,Fasteners,Blue Ridge Supply,12,7649,7649,0,0,40.90,312844.10,368.10,5.75,1330.26,67,35,7,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.08
186,SKU0142,Electrical Components 0142,Electrical Components,Blue Ridge Supply,12,5794,5794,0,0,49.40,286223.60,444.60,5.50,1053.45,62,40,8,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.03
187,SKU0077,Fasteners 0077,Fasteners,Blue Ridge Supply,12,5861,5861,0,0,48.90,286602.90,440.10,5.79,1011.49,67,35,21,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.01
188,SKU0207,Fasteners 0207,Fasteners,Blue Ridge Supply,12,5993,5993,0,0,49.90,299050.70,399.20,5.12,1171.27,57,45,13,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,7.01
189,SKU0272,Electrical Components 0272,Electrical Components,Blue Ridge Supply,12,5870,5870,0,0,50.40,295848.00,403.20,5.13,1143.51,52,10,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.98
190,SKU0042,Electrical Components 0042,Electrical Components,Blue Ridge Supply,12,8013,8013,0,0,39.40,315712.20,315.20,5.57,1439.46,82,20,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.86
191,SKU0107,Fasteners 0107,Fasteners,Blue Ridge Supply,12,7556,7557,-1,1,39.90,301524.30,359.10,5.18,1457.94,77,25,15,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.85
192,SKU0012,Electrical Components 0012,Electrical Components,Blue Ridge Supply,12,5956,5956,0,0,48.40,288270.40,387.20,4.93,1207.30,72,30,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.77
193,SKU0267,Fasteners 0267,Fasteners,Blue Ridge Supply,12,9684,9684,0,0,31.90,308919.60,287.10,5.29,1829.09,77,25,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.61
194,SKU0112,Electrical Components 0112,Electrical Components,Blue Ridge Supply,12,3839,3839,0,0,58.40,224197.60,525.60,4.87,788.84,52,10,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.41
195,SKU0177,Fasteners 0177,Fasteners,Blue Ridge Supply,12,4053,4053,0,0,58.90,238721.70,471.20,5.88,688.90,47,15,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.37
196,SKU0047,Fasteners 0047,Fasteners,Blue Ridge Supply,12,4152,4152,0,0,57.90,240400.80,463.20,5.32,780.94,57,45,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.36
197,SKU0137,Fasteners 0137,Fasteners,Blue Ridge Supply,12,9861,9861,0,0,30.90,304704.90,247.20,5.82,1695.30,87,15,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.33
198,SKU0202,Electrical Components 0202,Electrical Components,Blue Ridge Supply,12,9616,9616,0,0,31.40,301942.40,251.20,5.37,1791.80,82,20,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.31
199,SKU0242,Electrical Components 0242,Electrical Components,Blue Ridge Supply,12,3898,3898,0,0,59.40,231541.20,475.20,5.43,717.42,42,20,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.27
200,SKU0204,Packaging 0204,Packaging,Harbor Safety,12,3873,3873,0,0,38.80,150272.40,698.40,5.07,764.41,24,30,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,6.05
201,SKU0072,Electrical Components 0072,Electrical Components,Blue Ridge Supply,12,9389,9389,0,0,30.40,285425.60,243.20,4.96,1894.64,92,10,4,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,5.99
202,SKU0009,Shipping Supplies 0009,Shipping Supplies,Harbor Safety,12,4128,4128,0,0,37.30,153974.40,671.40,5.88,701.64,39,15,13,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,5.98
203,SKU0186,Consumables 0186,Consumables,Atlas Industrial,12,3789,3789,0,0,92.20,349345.80,0.00,5.43,697.36,66,20,10,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,5.82
204,SKU0139,Shipping Supplies 0139,Shipping Supplies,Harbor Safety,12,4119,4119,0,0,38.30,157757.70,612.80,5.21,791.27,29,25,5,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,5.74
205,SKU0056,Consumables 0056,Consumables,Atlas Industrial,12,3661,3661,0,0,91.20,333883.20,0.00,4.87,752.26,76,10,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,5.57
206,SKU0269,Shipping Supplies 0269,Shipping Supplies,Harbor Safety,12,4185,4185,0,0,39.30,164470.50,550.20,5.62,745.10,99,35,15,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,5.53
207,SKU0074,Packaging 0074,Packaging,Harbor Safety,12,3817,3817,0,0,37.80,144282.60,604.80,5.43,702.52,34,20,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,5.48
208,SKU0234,Packaging 0234,Packaging,Harbor Safety,12,5207,5207,0,0,29.80,155168.60,536.40,5.54,939.14,34,20,4,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,5.31
209,SKU0169,Shipping Supplies 0169,Shipping Supplies,Harbor Safety,12,5095,5095,0,0,29.30,149283.50,527.40,5.68,896.48,39,15,17,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,5.17
210,SKU0299,Shipping Supplies 0299,Shipping Supplies,Harbor Safety,12,4914,4914,0,0,30.30,148894.20,484.80,5.32,924.26,29,25,9,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.94
211,SKU0104,Packaging 0104,Packaging,Harbor Safety,12,5268,5268,0,0,28.80,151718.40,460.80,5.13,1026.23,44,10,12,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.87
212,SKU0235,Tools 0235,Tools,Summit Packaging,12,6229,6229,0,0,33.50,208671.50,268.00,5.12,1217.39,45,25,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.84
213,SKU0300,Material Handling 0300,Material Handling,Summit Packaging,12,6044,6044,0,0,34.00,205496.00,272.00,5.13,1177.40,40,30,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.81
214,SKU0075,Tools 0075,Tools,Summit Packaging,12,4178,4178,0,0,41.50,173387.00,373.50,5.32,785.83,45,25,7,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.79
215,SKU0039,Shipping Supplies 0039,Shipping Supplies,Harbor Safety,12,5236,5236,0,0,28.30,148178.80,452.80,5.12,1023.32,49,45,7,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.77
216,SKU0105,Tools 0105,Tools,Summit Packaging,12,6047,6047,0,0,32.50,196527.50,292.50,5.79,1043.59,55,15,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.76
217,SKU0205,Tools 0205,Tools,Summit Packaging,12,4234,4234,0,0,42.50,179945.00,340.00,5.88,719.66,35,35,17,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.73
218,SKU0270,Material Handling 0270,Material Handling,Summit Packaging,12,4107,4107,0,0,43.00,176601.00,344.00,5.43,755.89,30,40,4,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.69
219,SKU0040,Material Handling 0040,Material Handling,Summit Packaging,12,5900,5900,0,0,32.00,188800.00,288.00,4.93,1195.95,60,10,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.61
220,SKU0170,Material Handling 0170,Material Handling,Summit Packaging,12,5898,5898,0,0,33.00,194634.00,264.00,5.50,1072.36,50,20,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.58
221,SKU0140,Material Handling 0140,Material Handling,Summit Packaging,12,4063,4063,0,0,42.00,170646.00,336.00,4.87,834.86,40,30,12,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.55
222,SKU0010,Material Handling 0010,Material Handling,Summit Packaging,12,3973,3973,0,0,41.00,162893.00,328.00,5.54,716.57,50,20,20,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.38
223,SKU0200,Material Handling 0200,Material Handling,Summit Packaging,12,8203,8203,0,0,24.00,196872.00,216.00,5.04,1626.15,60,10,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.38
224,SKU0241,Industrial Supplies 0241,Industrial Supplies,Atlas Industrial,12,4709,4709,0,0,55.70,262291.30,0.00,5.62,838.40,31,15,17,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.37
225,SKU0265,Tools 0265,Tools,Summit Packaging,12,7961,7961,0,0,24.50,195044.50,220.50,5.75,1384.52,55,15,5,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.37
226,SKU0298,Maintenance Parts 0298,Maintenance Parts,Cedar Components,12,4212,4212,0,0,26.60,112039.20,478.80,5.43,775.21,98,20,20,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.30
227,SKU0236,Consumables 0236,Consumables,Atlas Industrial,12,6907,6907,0,0,37.20,256940.40,0.00,4.93,1400.07,56,30,18,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.28
228,SKU0171,Industrial Supplies 0171,Industrial Supplies,Atlas Industrial,12,6978,6978,0,0,36.70,256092.60,0.00,5.38,1296.22,61,25,13,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.27
229,SKU0111,Industrial Supplies 0111,Industrial Supplies,Atlas Industrial,12,4632,4632,0,0,54.70,253370.40,0.00,5.21,889.82,41,45,7,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.22
230,SKU0201,Industrial Supplies 0201,Industrial Supplies,Atlas Industrial,12,9101,9101,0,0,27.70,252097.70,0.00,5.71,1595.11,71,15,7,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.20
231,SKU0041,Industrial Supplies 0041,Industrial Supplies,Atlas Industrial,12,7055,7055,0,0,35.70,251863.50,0.00,5.75,1226.96,71,15,21,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.20
232,SKU0264,Packaging 0264,Packaging,Harbor Safety,12,7029,7029,0,0,20.80,146203.20,332.80,4.93,1424.80,44,10,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,4.13
