priority_rank,sku,product_name,category,supplier,location,zone,system_qty,physical_qty,quantity_variance,absolute_quantity_variance,unit_cost,inventory_value,cumulative_adjustment_value,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,stockout_risk_flag,historical_stockout_observation_count,variance_event_count,materiality_flag,risk_tier,risk_reason,current_action_flag,priority_score,recommended_count_frequency
525,SKU0127,Fasteners 0127,Fasteners,Blue Ridge Supply,Z3-B03,Z3,32,32,0,4.0,113.90,3644.80,455.60,11.58,2.76,57,45,11,Y,180,4,Y,Critical,Critical: physical quantity <= safety stock with materiality and current stockout-risk condition,Y,50.16,Weekly
526,SKU0025,Tools 0025,Tools,Summit Packaging,Z2-B02,Z2,137,137,0,4.0,96.50,13220.50,386.00,11.19,12.24,55,15,17,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,50.16,Biweekly
527,SKU0154,Packaging 0154,Packaging,Harbor Safety,Z3-B01,Z3,86,86,0,4.0,93.80,8066.80,375.20,10.92,7.88,34,20,20,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,50.16,Biweekly
528,SKU0272,Electrical Components 0272,Electrical Components,Blue Ridge Supply,Z1-B03,Z1,3,3,0,8.0,50.40,151.20,403.20,11.75,0.26,52,10,18,Y,180,4,N,Critical,Critical: days of supply <= 0.25 lead time,Y,50.12,Weekly
529,SKU0156,Consumables 0156,Consumables,Atlas Industrial,Z1-B02,Z1,62,62,0,4.0,101.20,6274.40,404.80,10.97,5.65,56,30,16,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,50.11,Biweekly
530,SKU0184,Packaging 0184,Packaging,Harbor Safety,Z1-B04,Z1,43,43,0,5.0,84.80,3646.40,424.00,11.75,3.66,44,10,14,Y,180,5,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,50.10,Biweekly
531,SKU0285,Tools 0285,Tools,Summit Packaging,Z3-B03,Z3,29,29,0,4.0,98.50,2856.50,394.00,11.08,2.62,35,35,19,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,50.09,Weekly
532,SKU0123,Safety Supplies 0123,Safety Supplies,Cedar Components,Z2-B01,Z2,10,10,0,4.0,99.10,991.00,396.40,11.17,0.90,93,25,19,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,50.07,Weekly
533,SKU0014,Packaging 0014,Packaging,Harbor Safety,Z2-B01,Z2,45,45,0,8.0,55.80,2511.00,446.40,11.00,4.09,94,40,12,Y,172,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,50.06,Weekly
534,SKU0285,Tools 0285,Tools,Summit Packaging,Z2-B01,Z2,62,62,0,4.0,98.50,6107.00,394.00,11.08,5.59,35,35,19,Y,180,2,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,50.06,Biweekly
535,SKU0022,Electrical Components 0022,Electrical Components,Blue Ridge Supply,Z2-B02,Z2,0,0,0,5.0,85.40,0.00,427.00,10.92,0.00,22,40,14,Y,180,5,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,50.05,Weekly
536,SKU0272,Electrical Components 0272,Electrical Components,Blue Ridge Supply,Z2-B03,Z2,0,0,0,8.0,50.40,0.00,403.20,11.75,0.00,52,10,18,Y,180,4,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,50.04,Weekly
537,SKU0021,Industrial Supplies 0021,Industrial Supplies,Atlas Industrial,Z1-B04,Z1,0,0,0,6.0,81.70,0.00,490.20,11.08,0.00,91,35,7,Y,170,3,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,50.04,Weekly
538,SKU0129,Shipping Supplies 0129,Shipping Supplies,Harbor Safety,Z3-B01,Z3,0,0,0,4.0,121.30,0.00,485.20,11.64,0.00,79,15,7,Y,175,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,50.03,Weekly
539,SKU0291,Industrial Supplies 0291,Industrial Supplies,Atlas Industrial,Z3-B04,Z3,5,5,0,4.0,120.70,603.50,482.80,11.25,0.44,21,25,7,Y,171,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,50.02,Weekly
540,SKU0143,Safety Supplies 0143,Safety Supplies,Cedar Components,Z3-B03,Z3,19,19,0,8.0,53.10,1008.90,424.80,10.81,1.76,73,45,15,Y,180,4,N,Critical,Critical: days of supply <= 0.25 lead time,Y,50.00,Weekly
541,SKU0291,Industrial Supplies 0291,Industrial Supplies,Atlas Industrial,Z2-B03,Z2,8,8,0,4.0,120.70,965.60,482.80,11.25,0.71,21,25,7,Y,171,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.99,Weekly
542,SKU0184,Packaging 0184,Packaging,Harbor Safety,Z3-B04,Z3,4,4,0,5.0,84.80,339.20,424.00,11.75,0.34,44,10,14,Y,180,5,N,Critical,Critical: days of supply <= 0.25 lead time,Y,49.96,Weekly
543,SKU0287,Fasteners 0287,Fasteners,Blue Ridge Supply,Z3-B03,Z3,0,0,0,4.0,105.90,0.00,423.60,10.83,0.00,57,45,15,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.91,Weekly
544,SKU0047,Fasteners 0047,Fasteners,Blue Ridge Supply,Z3-B04,Z3,9,9,0,8.0,57.90,521.10,463.20,11.19,0.80,57,45,9,Y,175,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.90,Weekly
545,SKU0182,Electrical Components 0182,Electrical Components,Blue Ridge Supply,Z1-B04,Z1,40,39,1,5.0,77.40,3018.60,387.00,11.39,3.42,22,40,18,Y,180,5,N,Critical,Critical: days of supply <= 0.25 lead time,Y,49.87,Weekly
546,SKU0176,Consumables 0176,Consumables,Atlas Industrial,Z1-B04,Z1,5,5,0,8.0,55.20,276.00,441.60,10.92,0.46,36,10,12,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.87,Weekly
547,SKU0123,Safety Supplies 0123,Safety Supplies,Cedar Components,Z2-B03,Z2,0,0,0,4.0,99.10,0.00,396.40,11.17,0.00,93,25,19,Y,180,2,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.84,Weekly
548,SKU0215,Tools 0215,Tools,Summit Packaging,Z2-B04,Z2,77,77,0,5.0,79.50,6121.50,397.50,11.58,6.65,65,45,15,Y,180,5,N,Watch,Watch: days of supply <= lead time,N,49.84,Biweekly
549,SKU0162,Electrical Components 0162,Electrical Components,Blue Ridge Supply,Z1-B01,Z1,39,39,0,4.0,123.40,4812.60,493.60,11.75,3.32,42,20,4,Y,163,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,49.81,Weekly
550,SKU0158,Maintenance Parts 0158,Maintenance Parts,Cedar Components,Z2-B04,Z2,0,0,0,4.0,108.60,0.00,434.40,11.33,0.00,78,40,12,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.79,Weekly
551,SKU0154,Packaging 0154,Packaging,Harbor Safety,Z1-B02,Z1,0,0,0,4.0,93.80,0.00,375.20,10.92,0.00,34,20,20,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.79,Weekly
552,SKU0209,Shipping Supplies 0209,Shipping Supplies,Harbor Safety,Z3-B02,Z3,38,38,0,8.0,57.30,2177.40,458.40,10.81,3.52,79,15,9,Y,180,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,49.78,Weekly
553,SKU0125,Tools 0125,Tools,Summit Packaging,Z2-B01,Z2,0,0,0,4.0,106.50,0.00,426.00,11.22,0.00,35,35,15,Y,180,2,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.77,Weekly
554,SKU0057,Fasteners 0057,Fasteners,Blue Ridge Supply,Z1-B01,Z1,0,0,0,5.0,94.90,0.00,474.50,11.17,0.00,87,15,7,Y,180,5,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.76,Weekly
555,SKU0141,Industrial Supplies 0141,Industrial Supplies,Atlas Industrial,Z2-B04,Z2,165,165,0,8.0,45.70,7540.50,365.60,11.36,14.52,51,35,19,Y,180,4,N,Watch,Watch: days of supply <= lead time,N,49.76,Biweekly
556,SKU0189,Shipping Supplies 0189,Shipping Supplies,Harbor Safety,Z1-B04,Z1,87,87,0,4.0,103.30,8987.10,413.20,11.17,7.79,99,35,13,Y,180,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,49.76,Weekly
557,SKU0242,Electrical Components 0242,Electrical Components,Blue Ridge Supply,Z2-B04,Z2,29,29,0,8.0,59.40,1722.60,475.20,10.92,2.66,42,20,6,Y,127,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,49.75,Weekly
558,SKU0209,Shipping Supplies 0209,Shipping Supplies,Harbor Safety,Z1-B01,Z1,39,39,0,8.0,57.30,2234.70,458.40,10.81,3.61,79,15,9,Y,117,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,49.75,Weekly
559,SKU0193,Safety Supplies 0193,Safety Supplies,Cedar Components,Z2-B04,Z2,59,59,0,4.0,118.10,6967.90,472.40,11.58,5.09,63,15,5,Y,165,4,Y,Watch,Watch: physical quantity <= reorder point or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,49.75,Biweekly
560,SKU0058,Maintenance Parts 0058,Maintenance Parts,Cedar Components,Z3-B02,Z3,150,150,0,4.0,98.60,14790.00,394.40,11.00,13.64,98,20,14,Y,158,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,49.75,Biweekly
561,SKU0080,Material Handling 0080,Material Handling,Summit Packaging,Z3-B02,Z3,32,32,0,8.0,60.00,1920.00,480.00,11.00,2.91,20,10,6,Y,138,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,49.74,Biweekly
562,SKU0025,Tools 0025,Tools,Summit Packaging,Z2-B04,Z2,38,38,0,4.0,96.50,3667.00,386.00,11.19,3.39,55,15,17,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,49.69,Weekly
563,SKU0041,Industrial Supplies 0041,Industrial Supplies,Atlas Industrial,Z2-B04,Z2,23,23,0,10.0,35.70,821.10,357.00,11.64,1.98,71,15,21,Y,180,5,N,Critical,Critical: days of supply <= 0.25 lead time,Y,49.69,Weekly
564,SKU0185,Tools 0185,Tools,Summit Packaging,Z2-B02,Z2,63,63,0,4.0,88.50,5575.50,354.00,11.36,5.55,55,15,21,Y,180,4,N,Watch,Watch: days of supply <= lead time,N,49.69,Biweekly
565,SKU0160,Material Handling 0160,Material Handling,Summit Packaging,Z1-B03,Z1,0,0,0,4.0,116.00,0.00,464.00,11.39,0.00,20,10,8,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.68,Weekly
566,SKU0216,Consumables 0216,Consumables,Atlas Industrial,Z1-B04,Z1,5,5,0,6.0,83.20,416.00,499.20,11.42,0.44,76,10,4,Y,138,3,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.68,Weekly
567,SKU0242,Electrical Components 0242,Electrical Components,Blue Ridge Supply,Z1-B02,Z1,19,19,0,8.0,59.40,1128.60,475.20,10.92,1.74,42,20,6,Y,148,4,Y,Critical,Critical: physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.67,Weekly
568,SKU0080,Material Handling 0080,Material Handling,Summit Packaging,Z1-B04,Z1,0,0,0,8.0,60.00,0.00,480.00,11.00,0.00,20,10,6,Y,165,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.65,Weekly
569,SKU0218,Maintenance Parts 0218,Maintenance Parts,Cedar Components,Z3-B02,Z3,149,149,0,4.0,90.60,13499.40,362.40,11.47,12.99,98,20,18,Y,178,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,49.63,Biweekly
570,SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,Z2-B04,Z2,0,0,0,10.0,44.70,0.00,447.00,10.81,0.00,61,25,9,Y,180,5,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.61,Weekly
571,SKU0031,Industrial Supplies 0031,Industrial Supplies,Atlas Industrial,Z1-B02,Z1,32,32,0,4.0,118.70,3798.40,474.80,11.36,2.82,41,45,5,Y,171,4,Y,Critical,Critical: physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.60,Weekly
572,SKU0023,Safety Supplies 0023,Safety Supplies,Cedar Components,Z3-B02,Z3,49,49,0,4.0,89.10,4365.90,356.40,10.83,4.52,33,45,21,Y,180,4,N,Critical,Critical: days of supply <= 0.25 lead time,Y,49.60,Weekly
573,SKU0019,Shipping Supplies 0019,Shipping Supplies,Harbor Safety,Z3-B03,Z3,2,2,0,6.0,74.30,148.60,445.80,11.64,0.17,69,25,11,Y,180,3,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.58,Weekly
574,SKU0162,Electrical Components 0162,Electrical Components,Blue Ridge Supply,Z1-B03,Z1,15,15,0,4.0,123.40,1851.00,493.60,11.75,1.28,42,20,4,Y,140,2,Y,Critical,Critical: physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.54,Weekly
575,SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,Z1-B03,Z1,4,4,0,10.0,44.70,178.80,447.00,10.81,0.37,61,25,9,Y,155,5,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.54,Weekly
576,SKU0162,Electrical Components 0162,Electrical Components,Blue Ridge Supply,Z3-B03,Z3,0,0,0,4.0,123.40,0.00,493.60,11.75,0.00,42,20,4,Y,149,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.53,Weekly
577,SKU0088,Maintenance Parts 0088,Maintenance Parts,Cedar Components,Z2-B01,Z2,56,56,0,5.0,89.60,5017.60,448.00,10.92,5.13,28,10,8,Y,104,5,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,49.50,Biweekly
578,SKU0146,Consumables 0146,Consumables,Atlas Industrial,Z1-B04,Z1,18,18,0,6.0,64.20,1155.60,385.20,11.00,1.64,26,20,18,Y,180,3,N,Critical,Critical: days of supply <= 0.25 lead time,Y,49.50,Weekly
579,SKU0027,Fasteners 0027,Fasteners,Blue Ridge Supply,Z2-B02,Z2,14,14,0,4.0,103.90,1454.60,415.60,11.25,1.24,77,25,13,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.48,Weekly
580,SKU0154,Packaging 0154,Packaging,Harbor Safety,Z1-B01,Z1,5,5,0,4.0,93.80,469.00,375.20,10.92,0.46,34,20,20,Y,180,2,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.44,Weekly
581,SKU0173,Safety Supplies 0173,Safety Supplies,Cedar Components,Z1-B01,Z1,74,74,0,10.0,44.10,3263.40,441.00,11.64,6.36,83,35,9,Y,180,5,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,49.43,Weekly
582,SKU0031,Industrial Supplies 0031,Industrial Supplies,Atlas Industrial,Z2-B03,Z2,22,22,0,4.0,118.70,2611.40,474.80,11.36,1.94,41,45,5,Y,86,4,Y,Critical,Critical: physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.42,Weekly
583,SKU0064,Packaging 0064,Packaging,Harbor Safety,Z2-B03,Z2,33,32,1,3.0,120.80,3865.60,362.40,11.47,2.79,84,10,20,Y,180,3,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,49.42,Weekly
584,SKU0052,Electrical Components 0052,Electrical Components,Blue Ridge Supply,Z1-B03,Z1,0,0,0,6.0,76.40,0.00,458.40,11.75,0.00,32,30,8,Y,180,3,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.42,Weekly
585,SKU0056,Consumables 0056,Consumables,Atlas Industrial,Z3-B04,Z3,76,76,0,4.0,91.20,6931.20,364.80,10.94,6.94,76,10,18,Y,180,4,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,49.40,Biweekly
586,SKU0107,Fasteners 0107,Fasteners,Blue Ridge Supply,Z2-B03,Z2,0,2,-2,10.0,39.90,79.80,399.00,11.64,0.17,77,25,15,Y,180,5,N,Critical,Critical: days of supply <= 0.25 lead time,Y,49.40,Weekly
587,SKU0193,Safety Supplies 0193,Safety Supplies,Cedar Components,Z2-B01,Z2,33,33,0,4.0,118.10,3897.30,472.40,11.58,2.85,63,15,5,Y,122,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,49.37,Weekly
588,SKU0189,Shipping Supplies 0189,Shipping Supplies,Harbor Safety,Z3-B01,Z3,13,13,0,4.0,103.30,1342.90,413.20,11.17,1.16,99,35,13,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.36,Weekly
589,SKU0187,Fasteners 0187,Fasteners,Blue Ridge Supply,Z2-B02,Z2,0,0,0,4.0,95.90,0.00,383.60,10.81,0.00,77,25,17,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.36,Weekly
590,SKU0031,Industrial Supplies 0031,Industrial Supplies,Atlas Industrial,Z3-B04,Z3,0,0,0,4.0,118.70,0.00,474.80,11.36,0.00,41,45,5,Y,174,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.34,Weekly
591,SKU0252,Electrical Components 0252,Electrical Components,Blue Ridge Supply,Z3-B03,Z3,0,0,0,5.0,96.40,0.00,482.00,11.19,0.00,72,30,4,Y,180,5,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.32,Weekly
592,SKU0023,Safety Supplies 0023,Safety Supplies,Cedar Components,Z3-B04,Z3,24,24,0,4.0,89.10,2138.40,356.40,10.83,2.22,33,45,21,Y,180,2,N,Critical,Critical: days of supply <= 0.25 lead time,Y,49.32,Weekly
593,SKU0012,Electrical Components 0012,Electrical Components,Blue Ridge Supply,Z2-B03,Z2,53,53,0,8.0,48.40,2565.20,387.20,10.94,4.84,72,30,16,Y,180,4,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,49.30,Biweekly
594,SKU0191,Industrial Supplies 0191,Industrial Supplies,Atlas Industrial,Z2-B03,Z2,10,10,0,4.0,110.70,1107.00,442.80,11.22,0.89,41,45,9,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.29,Weekly
595,SKU0191,Industrial Supplies 0191,Industrial Supplies,Atlas Industrial,Z3-B04,Z3,0,0,0,4.0,110.70,0.00,442.80,11.22,0.00,41,45,9,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.29,Weekly
596,SKU0012,Electrical Components 0012,Electrical Components,Blue Ridge Supply,Z1-B02,Z1,0,0,0,8.0,48.40,0.00,387.20,10.94,0.00,72,30,16,Y,180,4,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,49.27,Weekly
597,SKU0250,Material Handling 0250,Material Handling,Summit Packaging,Z1-B03,Z1,0,1,-1,5.0,89.00,89.00,445.00,11.75,0.09,50,20,8,Y,180,5,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.26,Weekly
598,SKU0141,Industrial Supplies 0141,Industrial Supplies,Atlas Industrial,Z1-B03,Z1,0,0,0,8.0,45.70,0.00,365.60,11.36,0.00,51,35,19,Y,180,4,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,49.26,Weekly
599,SKU0214,Packaging 0214,Packaging,Harbor Safety,Z1-B01,Z1,16,14,2,6.0,75.80,1061.20,454.80,11.36,1.23,54,40,8,Y,173,3,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.26,Weekly
600,SKU0027,Fasteners 0027,Fasteners,Blue Ridge Supply,Z2-B04,Z2,0,0,0,4.0,103.90,0.00,415.60,11.25,0.00,77,25,13,Y,180,2,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.25,Weekly
601,SKU0023,Safety Supplies 0023,Safety Supplies,Cedar Components,Z1-B02,Z1,0,0,0,4.0,89.10,0.00,356.40,10.83,0.00,33,45,21,Y,180,2,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,49.25,Weekly
602,SKU0051,Industrial Supplies 0051,Industrial Supplies,Atlas Industrial,Z2-B03,Z2,0,0,0,5.0,72.70,0.00,363.50,11.61,0.00,21,25,19,Y,180,5,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,49.25,Weekly
603,SKU0247,Fasteners 0247,Fasteners,Blue Ridge Supply,Z1-B03,Z1,47,47,0,6.0,77.90,3661.30,467.40,11.25,4.18,97,45,5,Y,166,3,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,49.23,Weekly
604,SKU0141,Industrial Supplies 0141,Industrial Supplies,Atlas Industrial,Z3-B01,Z3,0,0,0,8.0,45.70,0.00,365.60,11.36,0.00,51,35,19,Y,180,4,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,49.22,Weekly
605,SKU0025,Tools 0025,Tools,Summit Packaging,Z3-B02,Z3,8,8,0,4.0,96.50,772.00,386.00,11.19,0.71,55,15,17,Y,180,2,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.15,Weekly
606,SKU0207,Fasteners 0207,Fasteners,Blue Ridge Supply,Z1-B02,Z1,63,63,0,8.0,49.90,3143.70,399.20,11.36,5.55,57,45,13,Y,177,4,N,Watch,Watch: days of supply <= lead time,N,49.14,Biweekly
607,SKU0222,Electrical Components 0222,Electrical Components,Blue Ridge Supply,Z1-B04,Z1,48,48,0,4.0,105.40,5059.20,421.60,10.97,4.37,62,40,10,Y,158,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,49.14,Weekly
608,SKU0031,Industrial Supplies 0031,Industrial Supplies,Atlas Industrial,Z1-B04,Z1,10,10,0,4.0,118.70,1187.00,474.80,11.36,0.88,41,45,5,Y,176,2,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.13,Weekly
609,SKU0218,Maintenance Parts 0218,Maintenance Parts,Cedar Components,Z2-B01,Z2,55,55,0,4.0,90.60,4983.00,362.40,11.47,4.79,98,20,18,Y,180,4,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,49.11,Biweekly
610,SKU0226,Consumables 0226,Consumables,Atlas Industrial,Z2-B01,Z2,0,0,0,3.0,120.20,0.00,360.60,11.39,0.00,26,20,20,Y,180,3,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.10,Weekly
611,SKU0224,Packaging 0224,Packaging,Harbor Safety,Z1-B04,Z1,40,40,0,4.0,112.80,4512.00,451.20,11.33,3.53,84,10,6,Y,147,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,49.09,Weekly
612,SKU0179,Shipping Supplies 0179,Shipping Supplies,Harbor Safety,Z3-B03,Z3,0,0,0,6.0,66.30,0.00,397.80,11.19,0.00,69,25,15,Y,180,3,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,49.07,Weekly
613,SKU0207,Fasteners 0207,Fasteners,Blue Ridge Supply,Z1-B03,Z1,54,52,2,8.0,49.90,2594.80,399.20,11.36,4.58,57,45,13,Y,178,4,N,Watch,Watch: physical quantity <= reorder point or days of supply <= lead time,N,49.07,Biweekly
614,SKU0091,Industrial Supplies 0091,Industrial Supplies,Atlas Industrial,Z1-B02,Z1,77,77,0,4.0,100.70,7753.90,402.80,11.19,6.88,61,25,11,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,49.07,Biweekly
615,SKU0060,Material Handling 0060,Material Handling,Summit Packaging,Z2-B04,Z2,0,0,0,4.0,106.00,0.00,424.00,11.36,0.00,40,30,10,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.06,Weekly
616,SKU0259,Shipping Supplies 0259,Shipping Supplies,Harbor Safety,Z1-B01,Z1,887,887,0,10.0,122.30,108480.10,1223.00,11.58,76.58,69,25,17,N,21,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,49.05,Biweekly
617,SKU0220,Material Handling 0220,Material Handling,Summit Packaging,Z2-B04,Z2,0,0,0,4.0,98.00,0.00,392.00,10.92,0.00,40,30,14,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.02,Weekly
618,SKU0240,Material Handling 0240,Material Handling,Summit Packaging,Z3-B01,Z3,104,104,0,8.0,52.00,5408.00,416.00,11.47,9.07,20,10,10,Y,151,4,N,Watch,Watch: days of supply <= lead time,N,49.02,Biweekly
619,SKU0058,Maintenance Parts 0058,Maintenance Parts,Cedar Components,Z1-B03,Z1,1,1,0,4.0,98.60,98.60,394.40,11.00,0.09,98,20,14,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,49.01,Weekly
